,sequ1,sequ2,sequ3,sequ4,sequ5,sequ6,sequ7,sequ8,sequ9,sequ10,sequ11,sequ12,sequ13,sequ14,sequ15,sequ16,sequ17,sequ18,sequ19,sequ20,sequ21,sequ22,sequ23,sequ24,sequ25,sequ26,sequ27,sequ28,sequ29,sequ30,sequ31,sequ32,sequ33,sequ34,sequ35,sequ36,domain1,domain2,domain3,domain4,domain5,domain6,domain7,domain8,domain9,domain10,domain11,domain12,domain13,domain14,domain15,domain16,domain17,domain18,domain19,domain20,domain21,domain22,domain23,domain24,domain25,domain26,domain27,domain28,domain29,domain30,domain31,domian32,domain33,domain34,domain35,domain36,ort1,ort2,ort3,ort4,ort5,ort6,ort7,ort8,ort9,ort10,ort11,ort12,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,label,pro_id
3,0.0309247597583914,0.0189215028821577,0.0300060120127415,0.0203979201665553,0.0239376034748282,0.0324557975218428,0.0202044346676972,0.0280887916192806,0.0151677171328709,0.0137293667555714,0.0316487940576384,0.0352638658986877,0.0227189690401055,0.0191020166689091,0.022728030252767,0.0161372671583272,0.01735359554672,0.0361079314470601,0.0293775287894782,0.0361829895705119,0.015541647808922,0.0460532078100027,0.04045488509378,0.0314765866114014,0.0225244616810912,0.0224534001068786,0.0232025407302633,0.0352009172488592,0.0272244284700421,0.0310517303650007,0.0375182302358685,0.0442182539805237,0.028136793505625,0.0500204996575495,0.0495678633381023,0.0452419474151992,0.193134671414469,0.195293776376999,0.19096479881771,0.190446255369649,0.166378290847113,0.170184967100539,0.186399751303987,0.190133321543068,0.167979637204557,0.173938738943171,0.168471158284768,0.167991331259754,0.19169478965891,0.180704938549925,0.19317225812626,0.191697383035391,0.170663491107513,0.190097311336459,0.19109941245741,0.19698557456594,0.191641112995358,0.203529396531113,0.195715737291696,0.175829193363031,0.169546672169723,0.185032608704031,0.194675844774431,0.180203364054691,0.168012595914115,0.199744733865701,0.190971776046449,0.17088836263708,0.196220960212972,0.172650335488283,0.183382088119222,0.190666106167826,0.797979797979798,0.636771757983879,0.508130998795217,0.40547827176588,0.323563469388935,0.258197111936625,0.206036079222155,0.164412628874245,0.131197956374397,0.104693318723004,0.0835431533244174,0.0666657486124139,0.181674565560821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,4321
5,0.00211137502407084,0.00226984522537841,0.00228536615560784,0.00244136146780579,0.00318662243939403,0.00577509228908278,0.00724810833351376,0.00995439762020024,0.0417821510341423,0.00607806042463783,0.00756059803429208,0.00775698297681985,0.00222601724315293,0.00287636532320715,0.00355359548015976,0.00303371637636241,0.00377935459463625,0.00678673268987734,0.0142176151590266,0.0392344132215693,0.00401253728220334,0.0085084063110319,0.00710756894806754,0.00713398460322239,0.00394324858044239,0.00288765900632139,0.00218129144394993,0.00578443941102852,0.00497743926766402,0.00845949804211614,0.00978097362990005,0.0447744580646433,0.00641656147870813,0.00691149772685375,0.00948143500333884,0.00916495505933902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181818181818182,0.0330578512396694,0.00601051840721262,0.00109282152858411,0.00019869482337893,3.61263315234418e-05,6.56842391335305e-06,1.19425889333692e-06,2.17137980606712e-07,3.94796328375841e-08,7.17811506137892e-09,1.30511182934162e-09,0.0,0.0,0.0,0.187993680884676,0.0,0.0,0.0,0.0,1,0,0.0,0,1,2056
10,0.00628822560571746,0.00667169029598876,0.00620434638893541,0.00606157380817239,0.00422606817205418,0.00712741799394571,0.00516837048875352,0.00635236068442911,0.00734379440869588,0.00302613489298359,0.00396435855571474,0.00495081206093338,0.00377233472951472,0.00458907272924036,0.00462716375274413,0.00570699103808552,0.00730151270159861,0.0127565442058033,0.0105038528734126,0.00431665410830358,0.00430839242659153,0.00541973836128271,0.00170115583305687,0.00739938595638725,0.00454011766762245,0.00812616896352008,0.00588696077837106,0.00916426194147748,0.00961944232228331,0.0101603500636726,0.00620780888379291,0.00278102225422378,0.00553585731304861,0.00462718900229789,0.00622618980003658,0.00760589298532766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202020202020202,0.000408121620242832,8.24488121702692e-06,1.66563256909635e-07,3.36491428100272e-09,6.79780662828833e-11,1.37329426834108e-12,2.7743318552345e-14,5.60471081865555e-16,1.13226481184961e-17,2.28740366030224e-19,4.62101749556007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,1,2547
12,0.0404718502653315,0.0415096794963655,0.0396976558041397,0.0406285196842346,0.0404473394379949,0.0613534326531865,0.0522058493822191,0.0561509677822682,0.0572008446734052,0.0351788177695561,0.0442025970437351,0.0437570676728208,0.034248380155158,0.0367781399296445,0.0410952083005647,0.0440639780238243,0.043137508290374,0.0656050836336196,0.0740396851933342,0.0773648607241425,0.0394412065836275,0.067921557594614,0.0623601787502302,0.0568701764827455,0.0460763220097593,0.0491364825104482,0.049891781235952,0.0585924961794169,0.0517653673299949,0.0490785181960848,0.0726845079943734,0.0786055923862395,0.0420793762690278,0.0675335301427966,0.0570876194113176,0.0594629266264104,0.0,0.0170602326677847,0.0135495222108811,0.023412513081681,0.0,0.00439561141476054,0.0,0.0180099854482471,0.0,0.0,0.0,0.0,0.010788203560228,0.0,0.0146490943135553,0.0,0.0,0.0192954302881708,0.0,0.0187736090513728,0.0,0.00874002501651539,0.0,0.00726216000282754,0.0,0.0,0.0199798561377559,0.0,0.0,0.0,0.0193529741628916,0.0,0.0,0.0277866086675368,0.0,0.0160129719728324,0.636363636363637,0.404958677685951,0.257700976709241,0.163991530633154,0.104358246766552,0.0664097933968969,0.0422607776162071,0.0268932221194046,0.0171138686214393,0.0108906436681886,0.00693040960702912,0.00441026065901853,0.181674565560821,0.0,0.0,0.0,0.0,0.452869931542917,0.0,0.0,0,0,0.0,0,1,423
13,0.00551940989575252,0.00208605209264884,0.00627206048581891,0.00649508681333861,0.00673743024384064,0.0113617465592394,0.0151953618212315,0.0329417795893538,0.172857419769936,0.0117348693185951,0.0136675976238999,0.0184588461140307,0.00568399082229385,0.0027780281471735,0.00514314274431121,0.00696102710416653,0.011902466419289,0.0168914233214866,0.0286569499207685,0.113547853028386,0.0251661897853958,0.0173956119924056,0.0216256524491832,0.0227289618690252,0.00838551865822059,0.00309127609306626,0.00991266425008131,0.00846959525741365,0.0119242119882689,0.0135508631243132,0.0208623089604984,0.218407569488871,0.0210454080822274,0.0223159349951092,0.0292119173155373,0.0264312048122381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909090909090909,0.826446280991736,0.751314800901578,0.683013455365071,0.620921323059156,0.564473930053778,0.513158118230707,0.466507380209734,0.424097618372485,0.385543289429532,0.350493899481393,0.318630817710357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,1,2924
23,0.113474935965252,0.0920252221864669,0.075391694728821,0.0700617600624708,0.0819417202177993,0.108540709551665,0.0894641329343926,0.0793335364774043,0.0839571380480915,0.10889786512404,0.117005209529922,0.106495803856753,0.0843762470478632,0.076137636445207,0.0987183748827607,0.0727941747871651,0.0538825916334086,0.135055976690687,0.124230921607644,0.0874866687861636,0.0810181178824038,0.147775277268462,0.149538593026081,0.096266329728108,0.113512719845456,0.112350296374172,0.0562672114224717,0.122728972668776,0.101485659346598,0.0961540571494458,0.119158270000796,0.112909508990864,0.154249108328503,0.14003103331231,0.133024383877028,0.139659924177609,0.254077482606019,0.24994146246036,0.230257750650572,0.234812359799553,0.24831227398986,0.238554713270926,0.257509554052311,0.24448164943596,0.240728816563482,0.236836313938709,0.243077619570219,0.257036182800579,0.230927085589496,0.255194909198041,0.233767784774328,0.231722509509702,0.231706719557555,0.241464791482015,0.237619131515253,0.244723296960381,0.233936604499319,0.248036601813427,0.243860319267181,0.247717706703998,0.24323753520592,0.251120463180773,0.233313734991125,0.245981101613043,0.251759152477942,0.230293740143667,0.232329311126161,0.239988734191041,0.232380217573924,0.254058549910194,0.244595678674526,0.233816851576952,0.171717171717172,0.0294867870625446,0.00506338767740666,0.00086947061127185,0.000149303034258803,2.56378947717136e-05,4.40246677898112e-06,7.55979143865445e-07,1.29814600461743e-07,2.22913960388852e-08,3.82781548142473e-09,6.57301648325459e-10,0.0,0.0,0.0,0.0,0.0,0.452869931542917,0.0,0.0,0,0,0.0,0,1,2201
33,0.00697671766379962,0.00330827635733609,0.00576420119098697,0.00692099393432024,0.00743545242618799,0.0161170526567387,0.0154608608133125,0.0168035900242405,0.0270509139037409,0.0062671939067324,0.00675828702161368,0.0109792784627684,0.00445203448630586,0.00463004698166603,0.00206391487498992,0.00873319824563512,0.0126454773206171,0.0206115584242158,0.0235713107329223,0.0337269601167828,0.00927321409717445,0.0132870995873084,0.00576761747180237,0.0139282562210086,0.00571428590890411,0.00423893542438645,0.00834617681786649,0.015002137883534,0.0182758579139697,0.0181163056986275,0.00523536505651307,0.0367373061344371,0.00847535115678381,0.0134862056568999,0.0140871089489331,0.0125890635730033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444445,0.197530864197531,0.0877914951989026,0.0390184423106234,0.0173415299158326,0.00770734662925894,0.00342548739078175,0.00152243884034745,0.000676639484598865,0.000300728659821718,0.000133657182142986,5.94031920635492e-05,0.0,0.0,0.0,0.0,0.0,0.452869931542917,0.0,0.0,1,0,0.0,0,1,2740
34,0.0898481872852874,0.0506809558950963,0.0411958412332115,0.0333424592791946,0.0318510493122186,0.0466552098369257,0.0456214885248237,0.0551395563215812,0.125793846494589,0.133648549106334,0.154685498270373,0.158724729528075,0.118216811136385,0.042317809694595,0.0417443424097775,0.0337012828638982,0.0291846174330485,0.049040430547923,0.0622748168499295,0.117380735503945,0.0773661479690963,0.247821906106814,0.21371644282165,0.168508554972679,0.124060673123365,0.0465542469248842,0.0458071227276919,0.0455274093465414,0.038953871728491,0.041391116781617,0.0667593876908684,0.163009630124907,0.155392879088185,0.203596317707855,0.213083522286202,0.200871330136345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919191919191919,0.844913784307724,0.776637922949524,0.713879302913199,0.656192086516173,0.603166463363351,0.554425739051161,0.509623659127835,0.468441949299323,0.430588054406448,0.395793060110978,0.363809782526252,0.0,0.0,0.0,0.0,0.0,0.452869931542917,0.0,0.0,0,0,0.0,0,1,4373
37,0.0231677511338475,0.0144553296860826,0.0137883756421909,0.0162301115480774,0.0141956438763512,0.0206728372299737,0.0196380365712355,0.0276806772269405,0.0438227001357423,0.0203146500907433,0.0265706413602316,0.0218625297146479,0.0183688898876999,0.0139147248099282,0.0146887490743204,0.0174964331730996,0.0174393274572114,0.0238415411231007,0.0324538554196657,0.0383289122350159,0.0208023234185141,0.0371077221107133,0.0272767530689294,0.035032964196464,0.0173287686610945,0.0147529748491303,0.0164481180419781,0.0239259387613043,0.0229178603610817,0.0158335850453061,0.0220835169439769,0.0459842077145243,0.0279080403424797,0.0393896791364446,0.0362767937538186,0.0356835843312126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101010101010101,0.0102030405060708,0.00103061015212837,0.000104102035568522,1.05153571281335e-05,1.06215728567005e-06,1.07288614714147e-07,1.08372338095098e-08,1.09467008176866e-09,1.10572735532188e-10,1.11689631850695e-11,1.12817809950197e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,1,4135
42,0.00838812569239905,0.00243525892321451,0.00192986469545929,0.00437315548343068,0.00177540380420053,0.00627390094846055,0.00233638655758489,0.00933335658036444,0.0382793901436267,0.00616402997938822,0.00946726576573452,0.012387699570345,0.00540361441074177,0.0021470305933583,0.00184753676730849,0.00505369091091114,0.00342213766541518,0.00869707201532707,0.00942298130173056,0.0317671020679659,0.00560275896744383,0.0114368128728194,0.0064084639914912,0.00828051859898727,0.0031800392212052,0.00255446757619832,0.00324246042193264,0.0078684406355241,0.00720646580581334,0.00914207679156831,0.00516752050390065,0.0247232877841407,0.011369094734263,0.0103379597053294,0.0154659697693025,0.0154886277728816,0.245586710283458,0.256617037374888,0.252197253490493,0.245881121511222,0.245066108447913,0.255856130236546,0.24738062125314,0.240207291238111,0.239499913947904,0.24475614322381,0.258798780288974,0.251508047193092,0.24811456511227,0.246503692377614,0.234617562720584,0.235554947274711,0.241851334756386,0.253783681605938,0.248232585263996,0.241355119609452,0.255817081950392,0.240150185796474,0.235098169709646,0.245706847899526,0.232471750096647,0.25834938261731,0.237358178125224,0.256781458612674,0.260919833614361,0.241572839325608,0.242799948379272,0.235588916990737,0.24318780819214,0.2551201504531,0.252497235620474,0.246682490362854,0.909090909090909,0.826446280991736,0.751314800901578,0.683013455365071,0.620921323059156,0.564473930053778,0.513158118230707,0.466507380209734,0.424097618372485,0.385543289429532,0.350493899481393,0.318630817710357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,1,2654
